ORF,Protein Molecules/Cell
YGL011C,1266
YGL012W,NA
YGL013C,93
YGL014W,231
YGL016W,126
YGL017W,NA
YGL018C,80
YGL019W,327
YGL020C,NA
YGL021W,NA
YGL022W,348
YGL023C,97
YGL025C,66
YGL026C,2951
YGL028C,NA
YGL029W,396
YGL031C,4816
YGL032C,77
YGL035C,54
YGL036W,54
YGL037C,349
YGL038C,90
YGL039W,184
YGL040C,373
YGL043W,201
YGL046W,66
YGL047W,59
YGL048C,782
YGL049C,374
YGL053W,NA
YGL054C,739
YGL055W,598
YGL056C,350
YGL057C,NA
YGL058W,345
YGL059W,NA
YGL060W,84
YGL061C,NA
YGL062W,3120
YGL064C,NA
YGL065C,46
YGL066W,100
YGL067W,78
YGL068W,458
YGL070C,347
YGL071W,56
YGL073W,49
YGL075C,NA
YGL076C,3830
YGL077C,1091
YGL078C,638
YGL079W,46
YGL080W,NA
YGL082W,NA
YGL083W,72
YGL084C,151
YGL085W,NA
YGL086W,48
YGL087C,193
YGL090W,NA
YGL091C,111
YGL092W,404
YGL093W,50
YGL094C,NA
YGL095C,82
YGL097W,537
YGL098W,NA
YGL099W,296
YGL101W,281
YGL105W,1831
YGL107C,243
YGL108C,75
YGL110C,89
YGL111W,177
YGL112C,202
YGL113W,NA
YGL115W,170
YGL116W,NA
YGL119W,136
YGL120C,509
YGL122C,814
YGL124C,NA
YGL125W,129
YGL126W,110
YGL127C,156
YGL128C,NA
YGL129C,162
YGL130W,NA
YGL131C,NA
YGL133W,149
YGL134W,NA
YGL135W,8323
YGL137W,970
YGL139W,71
YGL140C,177
YGL141W,50
YGL143C,NA
YGL145W,80
YGL147C,3115
YGL148W,NA
YGL150C,185
YGL151W,220
YGL153W,175
YGL155W,63
YGL156W,NA
YGL157W,NA
YGL161C,NA
YGL162W,42
YGL163C,NA
YGL164C,84
YGL166W,NA
YGL167C,464
YGL169W,57
YGL172W,222
YGL173C,866
YGL174W,90
YGL175C,NA
YGL178W,149
YGL180W,95
YGL181W,147
YGL184C,192
YGL185C,NA
YGL186C,93
YGL187C,77
YGL189C,5416
YGL190C,96
YGL194C,92
YGL195W,905
YGL197W,74
YGL200C,674
YGL201C,219
YGL202W,3473
YGL203C,273
YGL206C,1566
YGL207W,830
YGL209W,88
YGL210W,249
YGL211W,164
YGL212W,159
YGL213C,147
YGL216W,110
YGL219C,NA
YGL220W,183
YGL221C,124
YGL222C,95
YGL223C,77
YGL225W,1418
YGL226C-A,NA
YGL226W,NA
YGL227W,78
YGL229C,NA
YGL231C,138
YGL232W,74
YGL233W,98
YGL234W,2951
YGL237C,NA
YGL238W,256
YGL240W,NA
YGL241W,104
YGL244W,347
YGL245W,1988
YGL246C,158
YGL247W,NA
YGL249W,NA
YGL250W,NA
YGL252C,257
YGL253W,7239
YGL254W,57
YGL255W,NA
YGL256W,NA
YGR001C,696
YGR002C,90
YGR003W,40
YGR004W,NA
YGR007W,133
YGR008C,115
YGR010W,41
YGR012W,45
YGR013W,66
YGR014W,287
YGR015C,NA
YGR017W,247
YGR019W,507
YGR020C,NA
YGR021W,128
YGR024C,92
YGR026W,379
YGR027C,5029
YGR028W,82
YGR030C,125
YGR031W,129
YGR033C,96
YGR034W,4417
YGR036C,132
YGR037C,1549
YGR038W,222
YGR040W,46
YGR041W,NA
YGR042W,NA
YGR043C,NA
YGR044C,NA
YGR046W,NA
YGR047C,100
YGR048W,172
YGR049W,NA
YGR052W,NA
YGR055W,1218
YGR058W,NA
YGR060W,1470
YGR061C,4086
YGR062C,109
YGR063C,596
YGR065C,327
YGR068C,45
YGR071C,NA
YGR072W,79
YGR074W,191
YGR075C,114
YGR076C,115
YGR078C,326
YGR080W,120
YGR081C,294
YGR082W,804
YGR083C,443
YGR084C,274
YGR085C,3919
YGR086C,912
YGR087C,NA
YGR088W,NA
YGR089W,77
YGR090W,583
YGR091W,NA
YGR092W,123
YGR093W,52
YGR094W,3080
YGR095C,171
YGR096W,NA
YGR097W,141
YGR098C,NA
YGR100W,143
YGR101W,NA
YGR102C,43
YGR103W,537
YGR104C,57
YGR105W,198
YGR106C,NA
YGR108W,NA
YGR111W,69
YGR112W,NA
YGR116W,595
YGR117C,80
YGR118W,2115
YGR119C,325
YGR120C,NA
YGR121C,737
YGR122W,NA
YGR123C,273
YGR124W,2654
YGR125W,209
YGR126W,107
YGR128C,417
YGR129W,137
YGR130C,251
YGR132C,76
YGR133W,NA
YGR134W,NA
YGR135W,987
YGR136W,376
YGR138C,NA
YGR140W,73
YGR142W,NA
YGR147C,269
YGR148C,3881
YGR149W,NA
YGR150C,71
YGR151C,41
YGR152C,89
YGR155W,1490
YGR156W,154
YGR157W,718
YGR158C,289
YGR159C,2025
YGR161C,139
YGR162W,1905
YGR163W,124
YGR165W,44
YGR166W,41
YGR167W,643
YGR171C,NA
YGR173W,325
YGR174C,NA
YGR175C,2083
YGR177C,NA
YGR178C,230
YGR179C,NA
YGR180C,4980
YGR185C,1309
YGR186W,138
YGR187C,521
YGR188C,40
YGR189C,53
YGR191W,701
YGR192C,24163
YGR193C,106
YGR194C,49
YGR195W,220
YGR198W,40
YGR200C,284
YGR202C,79
YGR203W,143
YGR204W,4690
YGR205W,93
YGR206W,71
YGR207C,337
YGR208W,845
YGR209C,2328
YGR210C,138
YGR211W,683
YGR214W,228
YGR215W,115
